Age,Gender,Education_Level,Job Title,Divisions,Years of Experience,Rank,Salary,Salary_division
40,Female,Bachelor's,HR,HR,15,Senior,80000,Moderate
46,Male,Master's,Senior Project Manager,Managerial,21,Senior,135000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
36,Male,PhD,Principal Scientist,Science and Analytics,11,Mid-level,120000,Moderate
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
43,Male,Bachelor's,Supply Chain Manager,Managerial,18,Senior,105000,Moderate
52,Female,Master's,Senior Marketing Manager,Managerial,25,Managerial,170000,High
33,Male,Bachelor's,Business Analyst,Business,7,Mid-level,75000,Moderate
39,Female,Bachelor's,Training Specialist,HR,12,Mid-level,65000,Low
47,Male,PhD,Research Scientist,Science and Analytics,22,Senior,160000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
38,Female,Master's,Public Relations Manager,Managerial,10,Mid-level,90000,Moderate
45,Male,Bachelor's,Operations Analyst,Operations,20,Senior,110000,Moderate
31,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
35,Male,Master's,Product Marketing Manager,Managerial,8,Mid-level,95000,Moderate
49,Female,Master's,HR,HR,19,Senior,150000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
39,Female,Master's,Senior Project Coordinator,HR,13,Mid-level,80000,Moderate
44,Male,PhD,Chief Data Officer,Director,16,Senior,220000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
36,Male,Bachelor's,IT Support Specialist,Operations,7,Mid-level,60000,Low
41,Female,Master's,Senior Marketing Analyst,Marketing,14,Mid-level,100000,Moderate
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
42,Female,Master's,Senior Graphic Designer,Marketing,15,Senior,110000,Moderate
37,Male,Bachelor's,Software Project Manager,Managerial,9,Mid-level,95000,Moderate
50,Female,Bachelor's,Supply Chain Analyst,Science and Analytics,22,Senior,130000,Moderate
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
23,Female,Bachelor's,Junior Marketing Analyst,Marketing,0.5,Intern,35000,Low
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
40,Female,Bachelor's,Office Manager,Managerial,15,Senior,65000,Low
48,Male,PhD,Principal Engineer,Engineering,20,Senior,170000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
35,Male,Master's,Senior Product Manager,Managerial,10,Mid-level,120000,Moderate
42,Female,Bachelor's,Sales Manager,Managerial,17,Senior,100000,Moderate
53,Male,Master's,Director of Marketing,Director,25,Managerial,180000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
38,Male,Bachelor's,Customer Service Manager,Managerial,11,Mid-level,80000,Moderate
44,Female,PhD,Senior Scientist,Science and Analytics,16,Senior,140000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
37,Female,Master's,HR,HR,9,Mid-level,95000,Moderate
45,Male,Bachelor's,Sales Operations Manager,Managerial,18,Senior,110000,Moderate
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
34,Male,Master's,Senior Software Developer,Developer,8,Mid-level,105000,Moderate
50,Female,Master's,Director of Operations,Director,21,Senior,160000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
40,Female,Master's,Senior Training Specialist,HR,12,Mid-level,100000,Moderate
47,Male,PhD,Senior Research Scientist,Science and Analytics,22,Senior,160000,High
27,Female,Master's Degree,Data Scientist,Science and Analytics,3,Junior,180000,High
39,Female,Bachelor's,Accountant,Accountant,10,Mid-level,55000,Low
46,Male,Master's,Senior Project Manager,Managerial,19,Senior,140000,High
29,Male,Bachelor's,Software Engineer,Engineering,6,Junior,175000,High
31,Male,Bachelor's,Data Analyst,Science and Analytics,9,Mid-level,195000,High
43,Female,Master's,Senior Product Marketing Manager,Managerial,14,Mid-level,120000,Moderate
28,Female,Master's,Data Scientist,Science and Analytics,6,Junior,175000,High
41,Female,Master's,Senior Marketing Manager,Managerial,13,Mid-level,110000,Moderate
31,Male,Master's Degree,Data Scientist,Science and Analytics,6,Junior,175000,High
47,Male,Bachelor's,Senior Sales Manager,Managerial,20,Senior,135000,High
29,Male,Bachelor's,Software Engineer,Engineering,6,Junior,170000,High
34,Male,Bachelor's,Senior Business Analyst,Business,8,Mid-level,90000,Moderate
42,Female,PhD,Senior Data Scientist,Science and Analytics,16,Senior,150000,High
30,Female,PhD,Data Scientist,Science and Analytics,6,Junior,170000,High
38,Female,Bachelor's,Senior Accountant,Accountant,10,Mid-level,80000,Moderate
45,Male,Master's,Director of Sales and Marketing,Director,19,Senior,175000,High
29,Male,Bachelor's,Software Engineer,Engineering,6,Junior,170000,High
36,Male,Master's,Senior Business Development Manager,Business,11,Mid-level,120000,Moderate
43,Female,PhD,Senior Product Designer,Marketing,18,Senior,140000,High
31,Female,Master's,Data Scientist,Science and Analytics,6,Junior,170000,High
37,Female,Master's,Senior Marketing Analyst,Marketing,9,Mid-level,95000,Moderate
44,Male,Bachelor's,Senior IT Support Specialist,Operations,14,Mid-level,110000,Moderate
30,Male,Master's,Software Engineer,Engineering,6,Junior,170000,High
33,Male,Master's,Senior Operations Manager,Managerial,7,Mid-level,115000,Moderate
51,Female,PhD,Director of HR,Director,23,Managerial,185000,High
30,Male,Master's,Software Engineer,Engineering,6,Junior,170000,High
39,Female,Bachelor's,Senior Sales Representative,Sales,12,Mid-level,90000,Moderate
48,Male,Master's,Director of Product Management,Director,21,Senior,175000,High
30,Male,Master's,Software Engineer,Engineering,6,Junior,170000,High
35,Male,Bachelor's,Senior Marketing Coordinator,Marketing,7,Mid-level,80000,Moderate
41,Female,Master's,Senior Human Resources Manager,Managerial,13,Mid-level,120000,Moderate
30,Male,Master's,Software Engineer,Engineering,6,Junior,170000,High
40,Female,Bachelor's,Senior Account Manager,Managerial,14,Mid-level,110000,Moderate
46,Male,PhD,Senior Researcher,Science and Analytics,18,Senior,150000,High
30,Male,Master's,Software Engineer,Engineering,6,Junior,170000,High
34,Male,Master's,Senior Software Engineer,Engineering,9,Mid-level,105000,Moderate
50,Female,Master's,Director of Finance,Director,20,Senior,180000,High
28,Male,Bachelor's,Software Engineer,Engineering,5,Junior,165000,High
43,Male,Bachelor's,Senior Project Manager,Managerial,16,Senior,140000,High
28,Male,Bachelor's,Software Engineer,Engineering,5,Junior,165000,High
35,Male,Bachelor's,Senior Operations Analyst,Operations,7,Mid-level,85000,Moderate
42,Female,PhD,Senior Marketing Manager,Managerial,18,Senior,140000,High
31,Male,Master's,Data Scientist,Science and Analytics,6,Junior,160000,High
38,Female,Bachelor's,Senior Human Resources Coordinator,HR,10,Mid-level,80000,Moderate
46,Male,Master's,Director of Operations,Director,20,Senior,170000,High
28,Male,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
37,Male,Master's,Senior Business Analyst,Business,9,Mid-level,105000,Moderate
44,Female,PhD,Senior UX Designer,Marketing,15,Senior,145000,High
30,Female,Bachelor's,Product Manager,Managerial,5,Junior,160000,High
36,Female,Bachelor's,Senior Marketing Specialist,Marketing,8,Mid-level,85000,Moderate
43,Male,Bachelor's,Senior IT Project Manager,Managerial,14,Mid-level,130000,Moderate
28,Male,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
34,Male,Bachelor's,Senior Quality Assurance Analyst,Science and Analytics,9,Mid-level,100000,Moderate
50,Female,PhD,Director of Sales and Marketing,Director,22,Senior,180000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
39,Female,Bachelor's,Senior Account Executive,Accountant,12,Mid-level,95000,Moderate
47,Male,Master's,Director of Business Development,Business,19,Senior,170000,High
30,Male,Bachelor's,Data Analyst,Science and Analytics,5,Junior,160000,High
34,Male,Bachelor's,Senior Product Manager,Managerial,7,Mid-level,95000,Moderate
40,Female,Master's,Senior Human Resources Specialist,HR,13,Mid-level,120000,Moderate
28,Male,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
41,Female,Bachelor's,Senior Marketing Coordinator,Marketing,11,Mid-level,90000,Moderate
45,Male,PhD,Senior Data Analyst,Science and Analytics,17,Senior,155000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
35,Male,Master's,Senior Software Developer,Developer,9,Mid-level,110000,Moderate
49,Female,Master's,Director of HR,Director,21,Senior,180000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
44,Male,Bachelor's,Senior Sales Manager,Managerial,16,Senior,130000,Moderate
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
36,Male,Bachelor's,Senior Accountant,Accountant,7,Mid-level,90000,Moderate
41,Female,PhD,Senior Marketing Director,Director,17,Senior,160000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
39,Female,Bachelor's,Senior Operations Manager,Managerial,10,Mid-level,120000,Moderate
47,Male,Master's,Director of Finance,Director,20,Senior,170000,High
28,Male,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
38,Male,Master's,Senior IT Consultant,Operations,9,Mid-level,110000,Moderate
45,Female,PhD,Senior Product Designer,Marketing,15,Senior,150000,High
30,Female,Bachelor's,Product Manager,Managerial,5,Junior,160000,High
35,Female,Bachelor's,Senior Marketing Analyst,Marketing,8,Mid-level,85000,Moderate
44,Male,Bachelor's,Senior Software Engineer,Engineering,14,Mid-level,130000,Moderate
28,Male,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
35,Male,Bachelor's,Senior Project Coordinator,HR,9,Mid-level,95000,Moderate
50,Female,PhD,Director of Operations,Director,22,Senior,180000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
40,Female,Bachelor's,Senior Sales Representative,Sales,12,Mid-level,100000,Moderate
48,Male,Master's,Director of Marketing,Director,19,Senior,170000,High
30,Male,Bachelor's,Data Analyst,Science and Analytics,5,Junior,160000,High
33,Male,Bachelor's,Senior Product Development Manager,Managerial,7,Mid-level,100000,Moderate
42,Female,Master's,Senior Human Resources Manager,Managerial,13,Mid-level,140000,High
28,Male,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
40,Female,Bachelor's,Senior Marketing Manager,Managerial,11,Mid-level,105000,Moderate
46,Male,PhD,Senior Data Scientist,Science and Analytics,18,Senior,160000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
37,Male,Master's,Senior Software Architect,Science and Analytics,9,Mid-level,120000,Moderate
51,Female,Master's,Director of HR,Director,21,Senior,190000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
43,Male,Bachelor's,Senior Project Manager,Managerial,15,Senior,120000,Moderate
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
35,Male,Bachelor's,Senior Operations Analyst,Operations,8,Mid-level,85000,Moderate
42,Female,PhD,Senior Marketing Manager,Managerial,13,Mid-level,140000,High
28,Male,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
37,Female,Bachelor's,Senior Financial Analyst,Finance,9,Mid-level,100000,Moderate
45,Male,Master's,Senior Software Developer,Developer,16,Senior,140000,High
30,Female,Bachelor's,Product Manager,Managerial,5,Junior,160000,High
39,Male,Bachelor's,Senior Marketing Specialist,Marketing,10,Mid-level,120000,Moderate
44,Female,PhD,HR,HR,18,Senior,160000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
38,Female,Bachelor's,Senior Product Manager,Managerial,10,Mid-level,120000,Moderate
46,Male,PhD,Senior Data Analyst,Science and Analytics,19,Senior,150000,High
30,Male,Bachelor's,Data Analyst,Science and Analytics,5,Junior,160000,High
36,Male,Bachelor's,Senior Operations Manager,Managerial,8,Mid-level,95000,Moderate
49,Female,Master's,Director of Marketing,Director,21,Senior,180000,High
28,Male,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
41,Female,Bachelor's,Senior Project Coordinator,HR,11,Mid-level,95000,Moderate
47,Male,Master's,Director of Operations,Director,20,Senior,170000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
38,Male,Master's,Senior IT Consultant,Operations,9,Mid-level,110000,Moderate
45,Female,PhD,Senior Product Designer,Marketing,15,Senior,150000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
35,Female,Bachelor's,Senior Marketing Analyst,Marketing,8,Mid-level,85000,Moderate
44,Male,Bachelor's,Senior Software Engineer,Engineering,14,Mid-level,130000,Moderate
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
35,Male,Bachelor's,Senior Project Coordinator,HR,9,Mid-level,95000,Moderate
50,Female,PhD,Director of Operations,Director,22,Senior,180000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
37,Female,Bachelor's,Senior Financial Manager,Managerial,10,Mid-level,120000,Moderate
46,Male,PhD,Senior Data Scientist,Science and Analytics,18,Senior,160000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
42,Male,Bachelor's,Senior Operations Manager,Managerial,12,Mid-level,110000,Moderate
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
36,Male,Bachelor's,Senior Marketing Specialist,Marketing,8,Mid-level,95000,Moderate
44,Female,Master's,HR,HR,15,Senior,140000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
39,Female,Bachelor's,Senior Marketing Coordinator,Marketing,9,Mid-level,110000,Moderate
45,Male,PhD,Senior Data Engineer,Science and Analytics,16,Senior,150000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
37,Male,Bachelor's,Senior Financial Analyst,Finance,8,Mid-level,90000,Moderate
47,Female,Master's,Director of Marketing,Director,20,Senior,180000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
38,Female,Bachelor's,Senior Project Manager,Managerial,9,Mid-level,120000,Moderate
46,Male,PhD,Senior Data Analyst,Science and Analytics,17,Senior,160000,High
30,Male,Bachelor's,Data Analyst,Science and Analytics,5,Junior,160000,High
36,Male,Bachelor's,Senior Product Manager,Managerial,8,Mid-level,95000,Moderate
49,Female,Master's,Director of Operations,Director,21,Senior,180000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
41,Female,Bachelor's,Senior Project Coordinator,HR,11,Mid-level,95000,Moderate
47,Male,Master's,Director of Marketing,Director,19,Senior,170000,High
30,Male,Bachelor's,Data Analyst,Science and Analytics,5,Junior,160000,High
35,Male,Bachelor's,Senior Financial Manager,Managerial,9,Mid-level,100000,Moderate
44,Female,PhD,Senior Product Designer,Marketing,15,Senior,150000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
35,Female,Bachelor's,Senior Marketing Analyst,Marketing,8,Mid-level,85000,Moderate
44,Male,Bachelor's,Senior Software Engineer,Engineering,13,Mid-level,130000,Moderate
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
38,Female,Bachelor's,Senior Business Analyst,Business,10,Mid-level,110000,Moderate
49,Male,PhD,Director of Operations,Director,21,Senior,180000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
35,Male,Bachelor's,Senior Business Development Manager,Business,7,Mid-level,90000,Moderate
45,Female,Master's,HR,HR,14,Mid-level,140000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
40,Female,Bachelor's,Senior Marketing Manager,Managerial,12,Mid-level,130000,Moderate
44,Male,PhD,Senior Data Scientist,Science and Analytics,16,Senior,160000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
37,Male,Bachelor's,Senior Marketing Analyst,Marketing,9,Mid-level,100000,Moderate
48,Female,Master's,Director of HR,Director,20,Senior,180000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
38,Female,Bachelor's,Senior Operations Coordinator,Operations,9,Mid-level,120000,Moderate
45,Male,PhD,Senior Data Engineer,Science and Analytics,16,Senior,150000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
36,Male,Bachelor's,Senior Business Analyst,Business,8,Mid-level,95000,Moderate
49,Female,Master's,Director of Marketing,Director,21,Senior,180000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
42,Female,Bachelor's,Senior Project Manager,Managerial,12,Mid-level,120000,Moderate
47,Male,Master's,Director of Marketing,Director,19,Senior,170000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
35,Male,Bachelor's,Senior Financial Manager,Managerial,9,Mid-level,100000,Moderate
44,Female,PhD,Senior Product Designer,Marketing,15,Senior,150000,High
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
35,Female,Bachelor's,Senior Marketing Analyst,Marketing,8,Mid-level,85000,Moderate
44,Male,Bachelor's,Senior Software Engineer,Engineering,13,Mid-level,130000,Moderate
28,Female,Bachelor's,Software Engineer,Engineering,5,Junior,160000,High
36,Male,Bachelor's,Senior Marketing Specialist,Marketing,8,Mid-level,95000,Moderate
27,Male,Bachelor's,Software Engineer,Engineering,4,Junior,160000,High
37,Male,Bachelor's,Senior Business Development Manager,Business,10,Mid-level,120000,Moderate
45,Female,Master's,Senior Marketing Manager,Managerial,16,Senior,160000,High
27,Male,Bachelor's,Software Engineer,Engineering,4,Junior,160000,High
39,Female,Bachelor's,Senior Project Manager,Managerial,12,Mid-level,130000,Moderate
47,Male,PhD,Director of Engineering,Director,20,Senior,180000,High
27,Male,Bachelor's,Software Engineer,Engineering,4,Junior,160000,High
36,Male,Bachelor's,Senior Operations Manager,Managerial,9,Mid-level,100000,Moderate
43,Female,PhD,Senior Data Scientist,Science and Analytics,15,Senior,150000,High
27,Male,Bachelor's,Software Engineer,Engineering,4,Junior,160000,High
38,Female,Bachelor's,Senior Business Analyst,Business,10,Mid-level,110000,Moderate
48,Male,Master's,Director of Marketing,Director,21,Senior,180000,High
27,Male,Bachelor's,Software Engineer,Engineering,4,Junior,160000,High
40,Male,Bachelor's,Senior Financial Analyst,Finance,12,Mid-level,130000,Moderate
45,Female,PhD,Senior UX Designer,Marketing,16,Senior,160000,High
27,Male,Bachelor's,Software Engineer,Engineering,4,Junior,160000,High
36,Female,Bachelor's,Senior Marketing Manager,Managerial,8,Mid-level,95000,Moderate
47,Male,Master's,Director of Operations,Director,19,Senior,170000,High
27,Male,Bachelor's,Software Engineer,Engineering,4,Junior,160000,High
34,Male,Bachelor's,Senior Operations Coordinator,Operations,7,Mid-level,90000,Moderate
44,Female,PhD,Senior Business Analyst,Business,15,Senior,150000,High
27,Male,Bachelor's,Software Engineer,Engineering,4,Junior,160000,High
35,Female,Bachelor's,Senior Financial Manager,Managerial,8,Mid-level,90000,Moderate
43,Male,Master's,Director of Marketing,Director,18,Senior,170000,High
27,Male,Bachelor's,Software Engineer,Engineering,4,Junior,160000,High
41,Male,Bachelor's,Senior Product Manager,Managerial,14,Mid-level,150000,High
44,Female,PhD,Senior Data Engineer,Science and Analytics,16,Senior,160000,High
27,Male,Bachelor's,Software Engineer,Engineering,4,Junior,160000,High
35,Female,Bachelor's,Senior Marketing Analyst,Marketing,8,Mid-level,85000,Moderate
45,Male,Master's,Director of Engineering,Director,19,Senior,180000,High
27,Male,Bachelor's,Software Engineer,Engineering,4,Junior,160000,High
36,Male,Bachelor's,Senior Business Development Manager,Business,8,Mid-level,110000,Moderate
44,Female,PhD,Senior Data Scientist,Science and Analytics,16,Senior,160000,High
27,Male,Bachelor's,Software Engineer,Engineering,4,Junior,160000,High
38,Female,Bachelor's,Senior Business Analyst,Business,10,Mid-level,110000,Moderate
48,Male,Master's,Director of Marketing,Director,21,Senior,180000,High
27,Male,Bachelor's,Software Engineer,Engineering,4,Junior,160000,High
40,Male,Bachelor's,Senior Financial Analyst,Finance,12,Mid-level,130000,Moderate
45,Female,PhD,Senior UX Designer,Marketing,16,Senior,160000,High
27,Male,Bachelor's,Software Engineer,Engineering,4,Junior,160000,High
36,Female,Bachelor's,Senior Marketing Manager,Managerial,8,Mid-level,95000,Moderate
47,Male,Master's,Director of Operations,Director,19,Senior,170000,High
28,Male,Bachelor's,Software Engineer,Engineering,4,Junior,160000,High
34,Male,Bachelor's,Senior Operations Coordinator,Operations,7,Mid-level,90000,Moderate
44,Female,PhD,Senior Business Analyst,Business,15,Senior,150000,High
28,Male,Bachelor's,Software Engineer,Engineering,4,Junior,160000,High
35,Female,Bachelor's,Senior Financial Manager,Managerial,8,Mid-level,90000,Moderate
43,Male,Master's,Director of Marketing,Director,18,Senior,170000,High
28,Male,Bachelor's,Software Engineer,Engineering,4,Junior,160000,High
41,Male,Bachelor's,Senior Product Manager,Managerial,14,Mid-level,150000,High
44,Female,PhD,Senior Data Engineer,Science and Analytics,16,Senior,160000,High
28,Male,Bachelor's,Software Engineer,Engineering,4,Junior,160000,High
35,Female,Bachelor's,Senior Marketing Analyst,Marketing,8,Mid-level,85000,Moderate
43,Male,Master's,Director of Operations,Director,19,Senior,170000,High
28,Male,Bachelor's,Software Engineer,Engineering,4,Junior,160000,High
34,Male,Bachelor's,Senior Operations Coordinator,Operations,7,Mid-level,90000,Moderate
44,Female,PhD,Senior Business Analyst,Business,15,Senior,150000,High
31,Female,Bachelor's,Software Engineer,Engineering,6,Junior,155000,High
31,Female,Bachelor's,Software Engineer,Engineering,6,Junior,155000,High
31,Female,Bachelor's,Software Engineer,Engineering,6,Junior,155000,High
31,Female,Bachelor's,Software Engineer,Engineering,6,Junior,155000,High
31,Female,Bachelor's,Software Engineer,Engineering,6,Junior,155000,High
